Model,accuracy,n,percent_correct
claude-sonnet-4-6,0.4024390243902439,328,40.243902439024396
gpt-5.4,0.2865853658536585,328,28.65853658536585
gemini-3.1-flash-lite-preview,0.22324159021406728,327,22.32415902140673
qwen-vl-plus,0.17073170731707318,328,17.073170731707318
